Id,Predicted
0,0
1,1
2,2
3,0
4,0
5,0
6,1
7,1
8,2
9,2
10,1
11,1
12,0
13,2
14,1
15,0
16,2
17,1
18,0
19,0
20,1
21,2
22,2
23,2
24,0
25,1
26,2
27,2
28,2
29,2
30,0
31,1
32,2
33,2
34,2
35,0
36,1
37,2
38,1
39,0
40,2
41,1
42,2
43,0
44,2
45,1
46,2
47,0
48,2
49,2
50,1
51,0
52,0
53,1
54,1
55,2
56,1
57,2
58,2
59,2
60,0
61,1
62,0
63,1
64,0
65,2
66,1
67,0
68,0
69,0
70,0
71,0
72,1
73,1
74,2
75,0
76,0
77,0
78,2
79,0
80,2
81,1
82,1
83,0
84,0
85,1
86,2
87,2
88,2
89,1
90,2
91,1
92,2
93,2
94,1
95,0
96,0
97,1
98,1
99,0
100,2
101,2
102,1
103,0
104,2
105,0
106,0
107,1
108,2
109,1
110,2
111,0
112,1
113,2
114,1
115,1
116,0
117,2
118,2
119,1
120,0
121,0
122,2
123,0
124,1
125,2
126,0
127,0
128,2
129,2
130,2
131,1
132,1
133,2
134,1
135,0
136,0
137,1
138,0
139,0
140,0
141,0
142,2
143,2
144,1
145,1
146,2
147,1
148,2
149,2
150,2
151,0
152,2
153,0
154,2
155,0
156,2
157,2
158,1
159,0
160,1
161,1
162,0
163,2
164,1
165,0
166,1
167,0
168,1
169,2
170,1
171,0
172,1
173,2
174,0
175,2
176,1
177,0
178,1
179,1
180,1
181,0
182,2
183,2
184,0
185,2
186,0
187,2
188,0
189,2
190,2
191,1
192,2
193,0
194,0
195,2
196,1
197,0
198,0
199,1
200,2
201,2
202,1
203,0
204,0
205,0
206,1
207,0
208,0
209,0
210,2
211,1
212,2
213,1
214,1
215,0
216,2
217,0
218,1
219,0
220,0
221,0
222,1
223,0
224,0
225,1
226,2
227,2
228,0
229,0
230,2
231,1
232,0
233,1
234,2
235,0
236,2
237,0
238,2
239,2
240,2
241,0
242,1
243,0
244,0
245,0
246,1
247,0
248,2
249,0
250,0
251,0
252,1
253,2
254,0
255,0
256,0
257,0
258,0
259,1
260,1
261,2
262,1
263,1
264,1
265,2
266,1
267,1
268,1
269,1
270,1
271,0
272,2
273,0
274,2
275,2
276,2
277,2
278,2
279,2
280,2
281,1
282,0
283,2
284,2
285,0
286,0
287,1
288,1
289,2
290,1
291,2
292,0
293,0
294,2
295,0
296,0
297,1
298,1
299,2
300,0
301,0
302,2
303,2
304,1
305,2
306,1
307,0
308,1
309,1
310,1
311,2
312,0
313,0
314,2
315,2
316,0
317,0
318,2
319,1
320,1
321,2
322,1
323,1
324,1
325,1
326,1
327,2
328,1
329,2
330,0
331,1
332,0
333,0
334,2
335,0
336,0
337,2
338,1
339,0
340,1
341,1
342,1
343,1
344,2
345,1
346,0
347,1
348,1
349,1
350,0
351,2
352,0
353,1
354,2
355,0
356,0
357,2
358,0
359,2
360,2
361,0
362,2
363,0
364,2
365,2
366,0
367,2
368,0
369,2
370,2
371,1
372,0
373,1
374,0
375,1
376,0
377,2
378,2
379,2
380,2
381,0
382,0
383,0
384,2
385,2
386,2
387,2
388,1
389,1
390,1
391,0
392,0
393,1
394,0
395,2
396,0
397,2
398,1
399,0
400,2
401,0
402,1
403,1
404,2
405,0
406,0
407,0
408,1
409,1
410,2
411,1
412,1
413,2
414,1
415,1
416,0
417,2
418,2
419,2
420,0
421,1
422,1
423,1
424,1
425,2
426,2
427,2
428,1
429,0
430,0
431,1
432,2
433,2
434,2
435,1
436,2
437,2
438,1
439,1
440,1
441,2
442,1
443,0
444,2
445,0
446,0
447,2
448,1
449,0
450,2
451,0
452,0
453,1
454,1
455,0
456,2
457,2
458,0
459,2
460,2
461,2
462,2
463,0
464,2
465,2
466,0
467,1
468,0
469,1
470,2
471,1
472,1
473,0
474,2
475,2
476,0
477,0
478,2
479,1
480,0
481,2
482,2
483,0
484,0
485,2
486,2
487,1
488,0
489,0
490,0
491,0
492,2
493,0
494,2
495,0
496,1
497,0
498,2
499,2
